"ID","O_C_ratio","H_C_ratio","N_C_ratio","KMD","M_kmd_z","Neutral_Mass","DBE"
21549,0.428571429,1.428571429,0,0.255,0.0425,316.0980235,5
17501,0.666666667,1.166666667,0,0.314,0.0785,318.0408914,6
19694,0.538461538,1.384615385,0,0.278,0.0695,318.0773889,5
19696,0.428571429,1.571428571,0,0.242,0.0605,318.1136518,4
16964,0.333333333,1.733333333,0,0.205,0.05125,318.1500127,3
18743,0.666666667,1.333333333,0,0.301,0.1505,320.0565453,5
19706,0.538461538,1.538461538,0,0.264,0.132,320.0929871,4
15619,0.428571429,1.714285714,0,0.228,0.114,320.129166,3
1981,0.818181818,1.272727273,0,0.324,0.023142857,322.0358385,5
4386,0.4,0.933333333,0,0.309,0.022071429,322.0510535,9
17751,0.666666667,1.5,0,0.287,0.0205,322.0721724,4
10870,0.333333333,2,0,0.178,0.012714286,322.1812801,1
19115,0.25,2.125,0,0.142,0.010142857,322.217811,0
13628,0.5,0.857142857,0,0.331,0.027583333,324.0303536,9
13220,0.818181818,1.454545455,0,0.31,0.025833333,324.0513945,4
14570,0.4,1.066666667,0,0.295,0.024583333,324.0664532,8
18090,0.166666667,1.555555556,0,0.186,0.0155,324.1759171,5
17904,0.333333333,2.133333333,0,0.165,0.01375,324.1969897,0
18245,0.5,1,0,0.318,0.0318,326.0460672,8
21608,0.166666667,1.666666667,0,0.173,0.0173,326.1916547,4
17016,0.615384615,0.923076923,0,0.341,0.042625,328.0253387,8
19116,0.5,1.142857143,0,0.305,0.038125,328.0616463,7
18934,0.4,1.333333333,0,0.269,0.033625,328.0977604,6
11197,0.235294118,1.647058824,0,0.196,0.0245,328.170729,4
18067,0.615384615,1.076923077,0,0.328,0.054666667,330.0409971,7
21625,0.5,1.285714286,0,0.291,0.0485,330.0772709,6
18552,0.4,1.466666667,0,0.255,0.0425,330.1136355,5
21635,0.615384615,1.230769231,0,0.314,0.0785,332.0565683,6
21637,0.5,1.428571429,0,0.278,0.0695,332.0930328,5
18602,0.4,1.6,0,0.242,0.0605,332.1292104,4
13331,0.75,1.166666667,0,0.337,0.1685,334.0358493,6
20982,0.615384615,1.384615385,0,0.301,0.1505,334.0722028,5
20983,0.5,1.571428571,0,0.264,0.132,334.1085836,4
15455,0.4,1.733333333,0,0.228,0.114,334.1448035,3
17105,0.75,1.333333333,0,0.324,0.023142857,336.0515106,5
20985,0.615384615,1.538461538,0,0.287,0.0205,336.0878081,4
11131,0.466666667,0.933333333,0,0.331,0.027583333,338.0460087,9
16626,0.75,1.5,0,0.31,0.025833333,338.0671432,4
18344,0.157894737,1.578947368,0,0.186,0.0155,338.1915148,5
19119,0.3125,2.125,0,0.165,0.01375,338.2127444,0
13407,0.571428571,0.857142857,0,0.354,0.0354,340.0252531,9
6868,0.466666667,1.066666667,0,0.318,0.0318,340.0617127,8
21690,0.157894737,1.684210526,0,0.173,0.0173,340.2072814,4
15721,0.909090909,1.636363636,0,0.32,0.04,342.061957,3
17947,0.466666667,1.2,0,0.305,0.038125,342.0773383,7
13042,0.692307692,0.923076923,0,0.364,0.060666667,344.020135,8
